stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
917,OGEEFOB,OGEECHEE & EXPRESS FOOD MKT WB,,32.043283,-81.186169,,,,,,0
918,OGEPEOB,OGEECHEE & PLANTATION EST WB,,32.042166,-81.190572,,,,,,0
919,OGEA1OB,OGEECHEE & A1 BLDGS WB,,32.040976,-81.195624,,,,,,0
920,OGESCOB,OGEECHEE & SALT CREEK WB,,32.040442,-81.199442,,,,,,0
921,BEE38O,BEE & 38th SB,,32.049543,-81.075343,,,,,,0
923,OGEDFOB,OGEECHEE & DEAN FOREST WB,,32.039346,-81.208057,,,,,,0
924,OGEDSOB,OGEECHEE & DESOTO SHOPPING CTR WB,,32.0382,-81.213364,,,,,,0
925,OGEELOB,OGEECHEE & ELK SB,,32.032529,-81.218981,,,,,,0
926,OGECROB,OGEECHEE & COTTONVALE SB,US-17 & ELK RD,32.030014,-81.220881,,,,,,0
927,BEE40O,BEE & 4Oth SB,,32.048125,-81.075853,,,,,,0
928,OGEBROB,OGEECHEE & BERWICK SB,,32.024219,-81.225231,,,,,,0
929,OGELDOB,OGEECHEE & LARCHMONT SB,,32.017768,-81.230175,,,,,,0
930,QUA17,QUACCO & HWY 17 WB,,32.014944,-81.233977,,,,,,0
931,BEE42O,BEE & 42nd SB,,32.046725,-81.076353,,,,,,0
933,QUAWW,QUACCO & WINDING WB,,32.018314,-81.237632,,,,,,0
934,QUASB,QUACCO & SEA BREEZE MOBILE PK WB,,32.020348,-81.239837,,,,,,0
935,QUALW,QUACCO & LOCH WB,,32.021862,-81.241457,,,,,,0
936,QUAHC,QUACCO & HOLIDAY WB,,32.024963,-81.244814,,,,,,0
937,VICGRE,VICTORY & GRENOBLE EB,,32.045289,-81.075087,,,,,,0
938,QUALS,QUACCO & LAUREL WOODS WB,,32.027803,-81.247554,,,,,,0
940,VICHIE,VICTORY & HIBUSCUS EB,,32.044741,-81.073183,,,,,,0
941,QUARE,QUACCO & GOODALE EB,,32.030832,-81.250603,,,,,,0
942,QUALE,QUACCO & LAUREL WOODS EB,,32.028296,-81.248087,,,,,,0
943,QUALGSB,QUACCO & LAUREL GREEN EB,,32.025652,-81.245528,,,,,,0
944,QUALCSB,QUACCO & LOCH EB,,32.022445,-81.242182,,,,,,0
946,QUASBSB,QUACCO & SEA BREEZE EB,,32.020608,-81.240178,,,,,,0
947,QUAFMH,QUACCO & FOSS MOBILE HOME EB,,32.018815,-81.238218,,,,,,0
948,QUASHSB,QUACCO & SHADY ACRES EB,,32.016154,-81.235383,,,,,,0
949,VICWAE,VICTORY & WALLIN EB,,32.043162,-81.068182,,,,,,0
951,OGEBUR,OGEECHEE & BURTON SB,,32.012503,-81.234163,,,,,,0
952,OGELNOB,OGEECHEE & LITTLE NECK SB,ATLANTIC COASTAL HWY & QUACCO RD,32.002729,-81.245734,,,,,,0
954,OGESSOB,OGEECHEE & S&S TRAILERS SB,,31.998502,-81.251648,,,,,,0
956,OGESWOB,OGEECHEE & SOUTHWEST MIDDLE SCH SB,,31.996731,-81.264233,,,,,,0
